codiceVia;nomeVia;isSensoUnico;nome_strada
8760;VIA FILARI LONGHI;0;
8760;VIA FILARI LONGHI;0;
8237;VIGOLO BASELGA;0;
5330;VIA DELLE SCUOLE;0;
5570;VIA SALORNO;1;
1520;LUNGADIGE G. LEOPARDI;1;
8321;V. DELLA VILLA DI BASELGA;0;
6400;VIA ALLA VEDUTA;0;
1320;SALITA DEI GIARDINI;0;
8488;VIA PADRE F. BORTOLOTTI;0;
8486;VIA DEI FRAGARI;0;
6413;VIA CARLO ALBERTO BAUER;0;
7050;LOCALITA' CERNIDOR;0;
2400;VICOLO DI PIEDICASTELLO;0;
1120;VIA FERSINA;1;
8066;STRADA DEL NORGE;0;
280;VIA O. BENEVOLI;0;
1700;VIA G. MANCI;1;
8604;VIA ALLA CA;0;
3502;VIA DEI GIARDINI;0;
7713;VIA DI VALSORDA;0;
8113;VIA AL BRAIDON;1;
0;;0;
2070;VIA G. OBERZINER;1;
7795;VIA G. CATONI;0;
5440;VIA 8 MARZO;0;
8510;VIA DEL PRA DE L'AGNELA;0;
6170;VIA DEL FORTE;0;
8750;VIA DELLA CROCE;0;
7440;VIA REDONDOLO;0;
7785;VIA DEL RIO STOLZANO;0;
8240;VIA NUOVA;0;
6480;VIA DI NICODEMO;0;
3720;VIA DELLA MALPENSADA;0;
8915;VIA DELLE PREDE;0;
7815;VIA NAZIONALE;0;
8516;STRADA AL CIROCOL;0;
8542;VIC. FRA' ORESTE SALTORI;0;
820;VICOLO COLICO;1;
2980;VICOLO S. MARIA MADDALENA;1;
2980;VICOLO S. MARIA MADDALENA;1;
2980;VICOLO S. MARIA MADDALENA;0;
3080;VIA G.A. SCOPOLI;0;
5615;VIA 25 APRILE;0;
5735;VIA C. BENEDETTI;0;
3300;VIA TORRE VANGA;0;
2650;VIA G.D. ROMAGNOSI;0;
6428;VIA PER VILLAMONTAGNA;0;
7160;VIA D. SARTORI;0;
3502;VIA DEI GIARDINI;0;
3832;VIA V. DE RICCABONA;1;
2445;LARGO L. PIGARELLI;1;
2500;LARGO E. PRATI;1;
2610;VIA ROCCABRUNA;1;
2360;VIA F. PETRARCA;1;
6020;VIA BELLAVISTA;0;
6170;VIA DEL FORTE;0;
7485;VIA DELLA RESISTENZA;0;
7050;LOCALITA' CERNIDOR;0;
3503;VIA MESIANO;0;
8046;VIA DELLA SELVA DI VASON;0;
1170;VIA FELICE E G. FONTANA;0;
3806;VIA GIOVANNI OSSANNA;0;
2880;VIA SAN PIO X;1;
8055;VIA DI VEGIARA;0;
5610;VIA DON LORENZO MILANI;0;
1310;VIA DELLE GHIAIE;0;
2020;VIA DEI MUREDEI;0;
5260;VIA PALUDI;0;
6468;VIA PER COGNOLA;0;
5010;VIA AEROPORTO;0;
1540;VIA DRUSO;0;
8475;VIA DEL CAMANTOLIN;0;
5781;VIA DELLE PALAZZINE;0;
7880;LOCALITA' LE BASSE;0;
3240;VICOLO TERLAGO;0;
2060;VICOLO AL NUOTO;0;
6482;VIA EDUINO FELLIN;0;
8803;VIA STELLA;0;
8498;STRADA VECCHIA;0;
2820;VIA SAN MARTINO;0;
7775;VIA DELLE CESE LONGHE;0;
3300;VIA TORRE VANGA;1;
1010;VIA DOS TRENTO;0;
7335;VIA BORINO;0;
3780;VIA A. DETASSIS;1;
960;PIAZZALE DIVISIONI ALPINE;0;
8543;PIAZZETTA DI SAN LAZZARO;0;
7465;VIA V. MARCHESONI;0;
