Num_Civico;strada;cap;sobborgo
15;140;38122;Trento
15;140;38122;Trento
16;140;38122;Trento
17;140;38122;Trento
17;140;38122;Trento
18;140;38122;Trento
19;140;38122;Trento
20;140;38122;Trento
21;140;38122;Trento
22;140;38122;Trento
23;140;38122;Trento
23;140;38122;Trento
24;140;38122;Trento
24;140;38122;Trento
25;140;38122;Trento
1;150;38122;Trento
1;150;38122;Trento
2;150;38122;Trento
2;150;38122;Trento
3;150;38122;Trento
3;150;38122;Trento
4;150;38122;Trento
4;150;38122;Trento
04-gen;150;38122;Trento
04-feb;150;38122;Trento
5;150;38122;Trento
5;150;38122;Trento
6;150;38122;Trento
6;150;38122;Trento
10;150;38122;Trento
10;150;38122;Trento
10;150;38122;Trento
12;150;38122;Trento
12;150;38122;Trento
14;150;38122;Trento
14;150;38122;Trento
14;150;38122;Trento
16;150;38122;Trento
16;150;38122;Trento
16;150;38122;Trento
20;150;38122;Trento
20;150;38122;Trento
22;150;38122;Trento
22;150;38122;Trento
24;150;38122;Trento
26;150;38122;Trento
26;150;38122;Trento
28;150;38122;Trento
28;150;38122;Trento
28;150;38122;Trento
30;150;38122;Trento
32;150;38122;Trento
1;160;38122;Trento
3;160;38122;Trento
03-gen;160;38122;Trento
03-feb;160;38122;Trento
5;160;38122;Trento
5;160;38122;Trento
6;160;38122;Trento
7;160;38122;Trento
7;160;38122;Trento
7;160;38122;Trento
7;160;38122;Trento
7;160;38122;Trento
8;160;38122;Trento
9;160;38122;Trento
9;160;38122;Trento
10;160;38122;Trento
11;160;38122;Trento
12;160;38122;Trento
13;160;38122;Trento
13;160;38122;Trento
14;160;38122;Trento
15;160;38122;Trento
15;160;38122;Trento
15;160;38122;Trento
15;160;38122;Trento
15;160;38122;Trento
16;160;38122;Trento
17;160;38122;Trento
17;160;38122;Trento
18;160;38122;Trento
20;160;38122;Trento
22;160;38122;Trento
24;160;38122;Trento
24;160;38122;Trento
26;160;38122;Trento
28;160;38122;Trento
30;160;38122;Trento
30;160;38122;Trento
30;160;38122;Trento
1;170;38122;Trento
1;170;38122;Trento
3;170;38122;Trento
3;170;38122;Trento
3;170;38122;Trento
5;170;38122;Trento
5;170;38122;Trento
7;170;38122;Trento
7;170;38122;Trento
9;170;38122;Trento
11;170;38122;Trento
11;170;38122;Trento
11;170;38122;Trento
11;170;38122;Trento
13;170;38122;Trento
13;170;38122;Trento
17;170;38122;Trento
19;170;38122;Trento
21;170;38122;Trento
23;170;38122;Trento
25;170;38122;Trento
27;170;38122;Trento
1;190;38122;Trento
2;190;38122;Trento
2;190;38122;Trento
3;190;38122;Trento
4;190;38122;Trento
5;190;38122;Trento
6;190;38122;Trento
6;190;38122;Trento
7;190;38122;Trento
8;190;38122;Trento
8;190;38122;Trento
9;190;38122;Trento
9;190;38122;Trento
9;190;38122;Trento
9;190;38122;Trento
10;190;38122;Trento
10;190;38122;Trento
10;190;38122;Trento
11;190;38122;Trento
11;190;38122;Trento
1;980;38122;Trento
12;190;38122;Trento
12;190;38122;Trento
13;190;38122;Trento
13;190;38122;Trento
14;190;38122;Trento
14;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
15;190;38122;Trento
16;190;38122;Trento
18;190;38122;Trento
20;190;38122;Trento
1;200;38121;Trento
1;200;38121;Trento
2;200;38121;Trento
3;200;38121;Trento
3;200;38121;Trento
4;200;38121;Trento
4;200;38121;Trento
5;200;38121;Trento
5;200;38121;Trento
6;200;38121;Trento
7;200;38121;Trento
7;200;38121;Trento
8;200;38121;Trento
10;200;38121;Trento
12;200;38121;Trento
14;200;38121;Trento
16;200;38121;Trento
18;200;38121;Trento
18;200;38121;Trento
20;200;38121;Trento
20;200;38121;Trento
2;980;38122;Trento
22;200;38121;Trento
22;200;38121;Trento
24;200;38121;Trento
26;200;38121;Trento
1;210;38122;Trento
1;210;38122;Trento
2;210;38122;Trento
3;210;38122;Trento
3/A;210;38122;Trento
4;210;38122;Trento
5;210;38122;Trento
6;210;38122;Trento
7;210;38122;Trento
7;210;38122;Trento
7;210;38122;Trento
7;210;38122;Trento
9;210;38122;Trento
10;210;38122;Trento
10;210;38122;Trento
12;210;38122;Trento
14;210;38122;Trento
16;210;38122;Trento
18;210;38122;Trento
20;210;38122;Trento
22;210;38122;Trento
24;210;38122;Trento
24-gen;210;38122;Trento
26;210;38122;Trento
28;210;38122;Trento
30;210;38122;Trento
32;210;38122;Trento
34;210;38122;Trento
36;210;38122;Trento
38;210;38122;Trento
40;210;38122;Trento
40/1;210;38122;Trento
40/2;210;38122;Trento
40/2;210;38122;Trento
42;210;38122;Trento
2;220;38122;Trento
4;220;38122;Trento
6;220;38122;Trento
8;220;38122;Trento
14;220;38122;Trento
14;220;38122;Trento
14;220;38122;Trento
1;230;38122;Trento
4;230;38122;Trento
5;230;38122;Trento
6;230;38122;Trento
7;230;38122;Trento
8;230;38122;Trento
9;230;38122;Trento
10;230;38122;Trento
11;230;38122;Trento
12;230;38122;Trento
13;230;38122;Trento
14;230;38122;Trento
15;230;38122;Trento
16;230;38122;Trento
17;230;38122;Trento
18;230;38122;Trento
19;230;38122;Trento
20;230;38122;Trento
21;230;38122;Trento
22;230;38122;Trento
23;230;38122;Trento
24;230;38122;Trento
25;230;38122;Trento
26;230;38122;Trento
27;230;38122;Trento
28;230;38122;Trento
31;230;38122;Trento
1;240;38122;Trento
2;240;38122;Trento
3;980;38122;Trento
3;240;38122;Trento
4;240;38122;Trento
5;240;38122;Trento
6;240;38122;Trento
7;240;38122;Trento
8;240;38122;Trento
9;240;38122;Trento
10;240;38122;Trento
11;240;38122;Trento
12;240;38122;Trento
13;240;38122;Trento
14;240;38122;Trento
15;240;38122;Trento
16;240;38122;Trento
17;240;38122;Trento
